,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,HDFS,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,3.0,33.0,2.0,9.0,30.0,18.0,4.0,7.0,62.0,3.0,38.0,124.0,44.0,10.0,27.643
ground_templates,1.0,33.0,2.0,8.0,23.0,15.0,4.0,7.0,62.0,3.0,23.0,124.0,32.0,4.0,24.357
GA,0.0,1.0,1.0,0.833,0.588,0.892,1.0,1.0,1.0,1.0,0.415,1.0,0.738,0.1,0.755
PA,0.0,0.205,0.0,0.583,0.0,0.486,0.143,0.143,0.113,0.667,0.171,0.242,0.087,0.0,0.203
FGA,0.0,1.0,1.0,0.824,0.604,0.848,1.0,1.0,1.0,1.0,0.459,1.0,0.684,0.143,0.754
PTA,0.0,0.182,0.0,0.556,0.0,0.278,0.25,0.143,0.113,0.667,0.105,0.242,0.114,0.0,0.189
RTA,0.0,0.182,0.0,0.625,0.0,0.333,0.25,0.143,0.113,0.667,0.174,0.242,0.156,0.0,0.206
FTA,0.0,0.182,0.0,0.588,0.0,0.303,0.25,0.143,0.113,0.667,0.131,0.242,0.132,0.0,0.196
