,0,1,2,3,4,5,6,7,8,9,10,11,12
Dataset,Linux,Apache,Zookeeper,Hadoop,HealthApp,OpenStack,HPC,Mac,OpenSSH,Spark,Thunderbird,BGL,Average
parse_time,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
identified_templates,67.0,7.0,22.0,31.0,31.0,2.0,22.0,78.0,5.0,43.0,208.0,38.0,46.167
ground_templates,84.0,7.0,27.0,32.0,36.0,2.0,24.0,87.0,6.0,47.0,228.0,43.0,51.917
GA,0.709,1.0,0.995,0.991,0.707,1.0,0.97,0.916,1.0,0.717,0.737,0.408,0.846
PA,0.159,0.877,0.618,0.064,0.698,0.001,0.96,0.595,0.0,0.156,0.122,0.004,0.354
FGA,0.728,1.0,0.735,0.889,0.866,1.0,0.826,0.824,0.545,0.711,0.761,0.716,0.8
PTA,0.224,0.429,0.318,0.129,0.871,0.5,0.727,0.346,0.0,0.07,0.25,0.132,0.333
RTA,0.179,0.429,0.259,0.125,0.75,0.5,0.667,0.31,0.0,0.064,0.228,0.116,0.302
FTA,0.199,0.429,0.286,0.127,0.806,0.5,0.696,0.327,0.0,0.067,0.239,0.123,0.317
